symbol,token,name
LOVABLE,22415,LOVABLE
MAXIND,22428,MAXIND
BANDHANBNK,2263,BANDHANBNK
PARKHOTELS,22649,PARKHOTELS
MRPL,2283,MRPL
HLEGLAS,2289,HLEGLAS
ARE&M,100,ARE&M
MUKKA,22980,MUKKA
PLATIND,22930,PLATIND
GODREJCP,10099,GODREJCP
MANORAMA,10227,MANORAMA
UFLEX,1053,UFLEX
KRBL,10577,KRBL
FOSECOIND,1073,FOSECOIND
SUMIT,11140,SUMIT
KBCGLOBAL,2354,KBCGLOBAL
HDFCVALUE,11260,HDFCVALUE
LICNETFSEN,11441,LICNETFSEN
PILANIINVS,11445,PILANIINVS
NIITLTD,11522,NIITLTD
NAVNETEDUL,2385,NAVNETEDUL
GTL,1162,GTL
CONSOFINVT,11731,CONSOFINVT
SANDHAR,2397,SANDHAR
MANGALAM,11817,MANGALAM
GRANULES,11872,GRANULES
GEOJITFSL,11896,GEOJITFSL
KRONOX,24025,KRONOX
MSPL,11919,MSPL
MCLEODRUSS,11943,MCLEODRUSS
SYNCOMF,11992,SYNCOMF
PRAXIS,1204,PRAXIS
ACI,12024,ACI
PEL,2412,PEL
NILKAMAL,2421,NILKAMAL
AFIL,24159,AFIL
SYMPHONY,24190,SYMPHONY
BBTCL,12153,BBTCL
OMINFRAL,24231,OMINFRAL
OSIAHYPER,12635,OSIAHYPER
VSTTILLERS,24292,VSTTILLERS
OILIETF,24533,OILIETF
N1NSETEST,12848,N1NSETEST
11NSETEST,12841,11NSETEST
VIMTALABS,13101,VIMTALABS
OLAELEC,24777,OLAELEC
CELEBRITY,13162,CELEBRITY
SURAJLTD,24966,SURAJLTD
UTTAMSUGAR,13376,UTTAMSUGAR
KAMDHENU,13457,KAMDHENU
GALAPREC,25134,GALAPREC
OSWALAGRO,2514,OSWALAGRO
MUNJALAU,13511,MUNJALAU
TOP10ADD,25171,TOP10ADD
KROSS,25252,KROSS
BALAJEE,25203,BALAJEE
FIEMIND,13710,FIEMIND
BFUTILITIE,14567,BFUTILITIE
DCBBANK,13725,DCBBANK
RUCHIRA,13821,RUCHIRA
TORNTPOWER,13786,TORNTPOWER
NAVINFLUOR,14672,NAVINFLUOR
HGS,14712,HGS
021NSETEST,14751,021NSETEST
131NSETEST,14778,131NSETEST
TIIL,14223,TIIL
USK,14871,USK
ADSL,14813,ADSL
PAGEIND,14413,PAGEIND
ASTRAL,14418,ASTRAL
SHIVAMILLS,1497,SHIVAMILLS
ASIANTILES,14889,ASIANTILES
KDDL,14908,KDDL
GOLDBEES,14428,GOLDBEES
JKTYRE,14435,JKTYRE
CCCL,14992,CCCL
MOGSEC,1507,MOGSEC
BANSWRAS,14511,BANSWRAS
ICRA,14523,ICRA
PSUBNKIETF,14584,PSUBNKIETF
TGBHOTELS,14607,TGBHOTELS
FORTIS,14592,FORTIS
KNRCON,15283,KNRCON
031NSETEST,14753,031NSETEST
DLF,14732,DLF
061NSETEST,14762,061NSETEST
IDBI,1476,IDBI
NELCAST,14761,NELCAST
TARC,1581,TARC
MAGNUM,14957,MAGNUM
PRINCEPIPE,16045,PRINCEPIPE
IOC,1624,IOC
KSCL,14972,KSCL
MANGCHEFER,15007,MANGCHEFER
EBBETF0430,16253,EBBETF0430
LINDEINDIA,1627,LINDEINDIA
ENERGYDEV,15049,ENERGYDEV
CERA,15039,CERA
KOLTEPATIL,15124,KOLTEPATIL
ITC,1660,ITC
INDIACEM,1515,INDIACEM
TARIL,15174,TARIL
COLPAL,15141,COLPAL
AMBIKCO,15234,AMBIKCO
UJJIVANSFB,15228,UJJIVANSFB
HGINFRA,1672,HGINFRA
GSS,15347,GSS
HINDWAREAP,15883,HINDWAREAP
LPDC,16863,LPDC
APCOTEXIND,154,APCOTEXIND
INGERRAND,1597,INGERRAND
ZFCVINDIA,16915,ZFCVINDIA
PAVNAIND,16192,PAVNAIND
VAISHALI,16589,VAISHALI
BAJAJ-AUTO,16669,BAJAJ-AUTO
JAYBARMARU,1708,JAYBARMARU
UBL,16713,UBL
KOKUYOCMLN,16827,KOKUYOCMLN
IKIO,16822,IKIO
IDEAFORGE,17140,IDEAFORGE
CROMPTON,17094,CROMPTON
SENCO,17271,SENCO
AARTECH,17145,AARTECH
MHRIL,17333,MHRIL
EXPLEOSOL,17486,EXPLEOSOL
PVTBANKADD,17576,PVTBANKADD
ZYDUSWELL,17635,ZYDUSWELL
JINDALPOLY,1756,JINDALPOLY
UNIVPHOTO,17659,UNIVPHOTO
MIDSELIETF,17702,MIDSELIETF
ASTEC,17728,ASTEC
POKARNA,17651,POKARNA
DEN,17722,DEN
SHILPAMED,17752,SHILPAMED
TREL,17795,TREL
COHANCE,17945,COHANCE
QUAL30IETF,17808,QUAL30IETF
GEEKAYWIRE,17922,GEEKAYWIRE
VASCONEQ,18110,VASCONEQ
THANGAMAYL,18118,THANGAMAYL
EMMBI,18142,EMMBI
WHIRLPOOL,18011,WHIRLPOOL
NIFTY1,18102,NIFTY1
SRGHFL,18119,SRGHFL
KARURVYSYA,1838,KARURVYSYA
POWERINDIA,18457,POWERINDIA
NIFMID150,18347,NIFMID150
TEXMOPIPES,18214,TEXMOPIPES
KCP,1841,KCP
MITTAL,18562,MITTAL
